label	Clade	group
Hap_1	II	A_lilljeborgi
Hap_2	I	A_hudsonica
Hap_3	I	A_hudsonica
Hap_3	I	A_hudsonica
Hap_3	I	A_hudsonica
Hap_3	I	A_hudsonica
Hap_4	I	A_hudsonica
Hap_5	I	A_hudsonica
Hap_6	SB	SB
Hap_7	SB	SB
Hap_7	SB	SB
Hap_8	IV	SB
Hap_9	IV	SB
Hap_9	IV	SB
Hap_9	IV	SB
Hap_10	II	A_lilljeborgi
Hap_11	II	A_lilljeborgi
Hap_12	II	A_lilljeborgi
Hap_13	II	A_lilljeborgi
Hap_14	II	A_lilljeborgi
Hap_15	II	A_lilljeborgi
Hap_16	II	A_lilljeborgi
Hap_17	II	A_lilljeborgi
Hap_18	II	A_lilljeborgi
Hap_19	II	A_lilljeborgi
Hap_20	II	A_lilljeborgi
Hap_21	II	A_lilljeborgi
Hap_22	II	A_lilljeborgi
Hap_23	II	A_lilljeborgi
Hap_24	II	A_lilljeborgi
Hap_25	IV	IV
Hap_26	IV	IV
Hap_27	IV	IV
Hap_27	IV	IV
Hap_28	IV	IV
Hap_29	IV	IV
Hap_30	IV	IV
Hap_30	IV	IV
Hap_31	IV	IV
Hap_32	IV	IV
Hap_33	IV	IV
Hap_34	IV	IV
Hap_35	S	S
Hap_36	S	S
Hap_37	S	S
Hap_38	S	S
Hap_39	S	S
Hap_40	S	S
Hap_40	S	S
Hap_41	S	S
Hap_42	S	S
Hap_43	S	S
Hap_44	S	S
Hap_45	S	S
Hap_46	S	S
Hap_47	S	S
Hap_48	S	S
Hap_50	S	S
Hap_51	S	S
Hap_52	S	S
Hap_53	S	S
Hap_54	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_55	S	S
Hap_56	S	S
Hap_56	S	S
Hap_57	S	S
Hap_58	S	S
Hap_59	S	S
Hap_60	S	S
Hap_61	S	S
Hap_62	S	S
Hap_62	S	S
Hap_62	S	S
Hap_62	S	S
Hap_62	S	S
Hap_63	S	S
Hap_64	S	S
Hap_65	S	S
Hap_66	S	S
Hap_67	S	S
Hap_68	S	S
Hap_69	S	S
Hap_70	S	S
Hap_71	S	S
Hap_72	S	S
Hap_73	S	S
Hap_74	X	X
Hap_75	X	X
Hap_75	X	X
Hap_76	X	X
Hap_77	X	X
Hap_78	X	X
Hap_79	X	X
Hap_80	X	X
Hap_80	X	X
Hap_81	X	X
Hap_82	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_83	X	X
Hap_90	X	X
Hap_90	X	X
Hap_90	X	X
Hap_90	X	X
Hap_90	X	X
Hap_90	X	X
Hap_90	X	X
Hap_90	X	X
Hap_90	X	X
Hap_90	X	X
Hap_90	X	X
Hap_90	X	X
Hap_91	X	X
Hap_92	X	X
Hap_92	X	X
Hap_92	X	X
Hap_92	X	X
Hap_92	X	X
Hap_92	X	X
Hap_93	X	X
Hap_94	X	X
Hap_95	X	X
Hap_96	X	X
Hap_97	X	X
Hap_98	X	X
Hap_99	X	X
Hap_100	X	X
Hap_100	X	X
Hap_101	X	X
Hap_102	X	X
Hap_103	X	X
Hap_103	X	X
Hap_104	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_105	X	X
Hap_106	X	X
Hap_107	X	X
Hap_108	X	X
Hap_109	X	X
Hap_109	X	X
Hap_109	X	X
Hap_110	X	X
Hap_110	X	X
Hap_111	X	X
Hap_112	X	X
Hap_112	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_113	X	X
Hap_114	F	F
Hap_115	F	F
Hap_116	F	F
Hap_116	F	F
Hap_116	F	F
Hap_116	F	F
Hap_116	F	F
Hap_116	F	F
Hap_116	F	F
Hap_116	F	F
Hap_116	F	F
Hap_117	F	F
Hap_117	F	F
Hap_117	F	F
Hap_118	F	F
Hap_118	F	F
Hap_118	F	F
Hap_118	F	F
Hap_119	F	F
Hap_119	F	F
Hap_119	F	F
Hap_119	F	F
Hap_119	F	F
Hap_119	F	F
Hap_120	F	F
Hap_121	F	F
Hap_122	F	F
Hap_123	F	F
Hap_124	F	F
Hap_125	F	F
Hap_125	F	F
Hap_125	F	F
Hap_125	F	F
Hap_125	F	F
Hap_125	F	F
Hap_125	F	F
Hap_125	F	F
Hap_126	F	F
Hap_127	F	F
Hap_128	F	F
Hap_129	F	F
Hap_130	F	F
Hap_131	F	F
Hap_132	F	F
Hap_133	F	F
Hap_134	F	F
Hap_136	F	F
Hap_137	F	F
Hap_138	F	F
Hap_139	F	F
Hap_140	F	F
Hap_141	F	F
Hap_142	F	F
Hap_143	F	F
Hap_144	F	F
Hap_145	F	F
Hap_146	F	F
Hap_147	F	F
Hap_148	F	F
Hap_149	F	F
Hap_150	F	F
Hap_151	F	F
Hap_152	F	F
Hap_153	F	F
Hap_154	F	F
Hap_155	F	F
Hap_156	F	F
Hap_157	F	F
Hap_158	F	F
Hap_159	F	F
Hap_160	F	F
Hap_161	F	F
Hap_162	F	F
Hap_163	F	F
Hap_164	F	F
Hap_165	F	F
Hap_166	F	F
Hap_167	F	F
Hap_168	F	F
Hap_169	F	F
Hap_170	F	F
Hap_171	F	F
Hap_172	F	F
Hap_173	F	F
Hap_174	F	F
Hap_175	F	F
Hap_176	F	F
Hap_177	F	F
Hap_178	F	F
Hap_178	F	F
Hap_179	F	F
Hap_180	F	F
Hap_181	F	F
Hap_182	F	F
Hap_183	F	F
Hap_184	F	F
Hap_185	F	F
Hap_186	F	F
Hap_187	F	F
Hap_188	F	F
Hap_189	F	F
Hap_190	F	F
Hap_191	F	F
Hap_192	F	F
Hap_193	F	F
Hap_194	X	X
Hap_195	X	X
Acar_danaEU856796	out_group	out_group
Hap_84	X	X
Hap_85	X	X
Hap_86	X	X
Hap_87	X	X
Hap_88	X	X
Hap_89	X	X
Hap_135	F	F
Hap_49	S	S
